;noun;n
1133;litevka;410
1134;maloměšťák;407
1135;lotyška;400
1136;rozhlasový moderátor;400
1137;staroušek;400
1138;ghaňan;394
1139;přivandrovalec;392
1140;diagnostik;389
1141;geofyzik;388
1142;voyeur;388
1143;fúrie;382
1144;argentinka;381
1145;páže;380
1146;myanmar;378
1147;pouliční prodejce;378
1148;barmánec;377
1149;dobroděj;376
1150;neznaboh;375
1151;thajka;373
1152;poštovní doručovatel;372
1153;nutriční terapeut;371
1154;hemofilik;370
1155;osídlenec;370
1156;pouliční prodavač;369
1157;snaživec;369
1158;bídák;367
1159;donchuán;367
1160;duce;367
1161;garderobiér;365
1162;kožešník;365
1163;pojišťovací makléř;362
1164;estonka;361
1165;portugalka;361
1166;dekoratér;360
1167;preparátor;358
1168;prostopášník;358
1169;baletní mistr;357
1170;vojačka;357
1171;benin;355
1172;volnomyšlenkář;355
1173;zrzek;355
1174;steward;354
1175;brzdař;353
1176;inspicient;348
1177;sladovník;348
1178;vagabund;347
1179;proc;346
1180;rotný;346
1181;nevzdělanec;344
1182;pokrokář;344
1183;dogmatik;342
1184;grenada;341
1185;hydrogeolog;339
1186;afričanka;337
1187;ožrala;337
1188;purista;336
1189;izraelka;333
1190;mudrlant;332
1191;kabrňák;331
1192;zapomnětlivec;331
1193;asistent režie;325
1194;korepetitor;325
1195;budižkničemu;321
1196;kambodžan;320
1197;sektář;320
1198;neurvalec;319
1199;chlípník;316
1200;posunovač;315
1201;triumfátor;315
1202;třídič;313
1203;kapverdy;311
1204;moula;310
1205;rozumbrada;310
1206;keňanka;306
1207;paraguayec;305
1208;proutkař;304
1209;zbrojíř;304
1210;gruzín;300
1211;chevalier;299
1212;hladovec;299
1213;zuřivec;298
1214;chytrolín;297
1215;gastarbeitr;297
1216;hudební režisér;296
1217;materialista;294
1218;vandrák;293
1219;ekvádorec;287
1220;karosář;287
1221;praktikantka;286
1222;kovodělník;285
1223;patolízal;285
1224;výstředník;284
1225;eskamotér;282
1226;napodobitel;282
1227;iluminát;281
1228;vezír;280
1229;štukatér;277
1230;kosmetik;276
1231;křupan;276
1232;provozní pracovník;276
1233;liberečák;274
1234;nobile;274
1235;váhavec;273
1236;blboun;268
1237;báňský záchranář;266
1238;projektantka;266
1239;mandarín;264
1240;šrí lanka;264
1241;kosmopolita;259
1242;utopista;258
1243;renegát;257
1244;elektromontér;256
1245;fluktuant;254
1246;koryfej;254
1247;bloud;251
1248;advokátní koncipient;250
1249;plantážník;250
1250;babča;248
1251;kmán;248
1252;patricij;245
1253;polyglot;245
1254;uvaděč;245
1255;podnikový právník;244
1256;špinavec;244
1257;technička;243
1258;cizozemec;242
1259;hlavní účetní;240
1260;pošetilec;239
1261;bytůstka;238
1262;podkovář;238
1263;skandalista;237
1264;elektroinženýr;235
1265;omezenec;234
1266;horlivec;233
1267;koketa;232
1268;betonář;231
1269;litvan;230
1270;výzkumnice;230
1271;babizna;226
1272;pojišťovací poradce;226
1273;jugoslávka;225
1274;psychotik;224
1275;výrobce bižuterie;224
1276;klikař;223
1277;všivák;223
1278;vyvolenec;223
1279;superžena;222
1280;úchylák;222
1281;derviš;218
1282;technický manažer;217
1283;ergoterapeut;216
1284;podlahář;215
1285;kostaričan;213
1286;nepořádník;212
1287;nadpraporčík;211
1288;notorik;211
1289;zastavárník;211
1290;zemědělský dělník;210
1291;dement;209
1292;vyvrženec;209
1293;pruďas;206
1294;novozélanďanka;205
1295;neznalec;203
1296;páprda;203
1297;lihovarník;201
1298;malorolník;201
1299;nelida;201
1300;oblastní manažer;200
1301;žertéř;200
1302;ochmelka;199
1303;přesídlenec;198
1304;polyhistor;196
1305;islanďanka;194
1306;sýrař;194
1307;revmatik;190
1308;místní zástupce;189
1309;sangvinik;189
1310;zubní technik;188
1311;budějovičák;187
1312;optometrista;187
1313;prudič;187
1314;fetišista;183
1315;zimbabwan;182
1316;lesní inženýr;180
1317;poturčenec;180
1318;justiční čekatel;178
1319;řezač;178
1320;fridolín;177
1321;nedochůdče;177
1322;angolan;174
1323;imbecil;174
1324;kulturní referent;174
1325;zlotřilec;173
1326;pária;172
1327;dacan;171
1328;sufražetka;171
1329;hlupec;170
1330;prasák;170
1331;manipulační dělník;169
1332;nevychovanec;169
1333;brašnář;167
1334;hlupáček;167
1335;etiopanka;166
1336;odrodilec;165
1337;pasíř;165
1338;dominikánka;163
1339;somrák;163
1340;podržtaška;162
1341;radiologický asistent;161
1342;horský průvodce;160
1343;mechanizátor;160
1344;konžan;159
1345;sviňák;159
1346;upisovatel;159
1347;modistka;157
1348;trotl;157
1349;zabedněnec;157
1350;vojákyně;156
1351;necita;155
1352;venezuelec;152
1353;adiktolog;151
1354;tavič;151
1355;otrapa;150
1356;erotoman;149
1357;trapič;149
1358;výhybkář;149
1359;kyrgyz;148
1360;divous;147
1361;taškář;145
1362;geront;144
1363;plnič;144
1364;sketa;144
1365;bolivijec;143
1366;balistik;142
1367;dominikánec;140
1368;bezpečnostní referent;139
1369;letecký instruktor;138
1370;pornograf;137
1371;rwanďan;137
1372;strojírenský dělník;137
1373;zarputilec;137
1374;autotronik;136
1375;tvrdohlavec;136
1376;asfaltér;135
1377;dokumentátor;135
1378;mongolka;135
1379;izolacionista;134
1380;srílančan;134
1381;nabob;133
1382;posluhovač;132
1383;rozhlasový režisér;132
1384;filipínka;130
1385;zmatkář;129
1386;programátorka;128
1387;gruzínka;127
1388;interní auditor;127
1389;kandrdas;127
1390;midas;127
1391;nezasvěcenec;127
1392;odborný referent;127
1393;páječ;127
1394;signalista;126
1395;kolumbijka;124
1396;padavka;124
1397;bejvalka;123
1398;technický specialista;123
1399;uganďan;122
1400;manipulant;121
